ROI,Frame,Wavelength,Row,Column,Intensity
1,1,527.85532176301706,0,264,629.70001220703125
1,1,528.2823498693549,0,265,630.01251220703125
1,1,528.709368940364,0,266,630.125
1,1,529.13637897031367,0,267,629.4375
1,1,529.56337995347451,0,268,629.7874755859375
1,1,529.99037188411626,0,269,628.7249755859375
1,1,530.41735475651058,0,270,630.0875244140625
1,1,530.84432856492856,0,271,630.0374755859375
1,1,531.27129330364164,0,272,630
1,1,531.69824896692126,0,273,628.82501220703125
1,1,532.125195549041,0,274,630.1500244140625
1,1,532.55213304427286,0,275,629.2249755859375
1,1,532.97906144689023,0,276,630.07501220703125
1,1,533.40598075116668,0,277,630.26251220703125
1,1,533.832890951376,0,278,629.5374755859375
1,1,534.25979204179282,0,279,630.57501220703125
1,1,534.68668401669129,0,280,629.8125
1,1,535.113566870347,0,281,630.79998779296875
1,1,535.54044059703506,0,282,630.95001220703125
1,1,535.96730519103119,0,283,630.82501220703125
1,1,536.394160646612,0,284,630.9749755859375
1,1,536.82100695805366,0,285,630.375
1,1,537.24784411963344,0,286,632.42498779296875
1,1,537.67467212562838,0,287,631.4000244140625
1,1,538.10149097031638,0,288,632.86248779296875
1,1,538.52830064797615,0,289,632.04998779296875
1,1,538.95510115288516,0,290,631.67498779296875
1,1,539.38189247932337,0,291,632.25
1,1,539.80867462156914,0,292,633.4749755859375
1,1,540.23544757390243,0,293,633.01251220703125
1,1,540.66221133060333,0,294,632.1624755859375
1,1,541.08896588595269,0,295,632.0625
1,1,541.51571123423093,0,296,632.20001220703125
1,1,541.94244736971882,0,297,632.5875244140625
1,1,542.36917428669915,0,298,632.48748779296875
1,1,542.7958919794529,0,299,633.375
1,1,543.22260044226289,0,300,634.01251220703125
1,1,543.64929966941168,0,301,632.88751220703125
1,1,544.07598965518241,0,302,633.42498779296875
1,1,544.502670393859,0,303,634.375
1,1,544.92934187972526,0,304,633.36248779296875
1,1,545.35600410706525,0,305,632.7750244140625
1,1,545.78265707016408,0,306,633.57501220703125
1,1,546.20930076330626,0,307,634.2249755859375
1,1,546.63593518077778,0,308,633.0250244140625
1,1,547.06256031686485,0,309,633.88751220703125
1,1,547.48917616585288,0,310,632.86248779296875
1,1,547.91578272202935,0,311,634.1624755859375
1,1,548.34237997968091,0,312,634.67498779296875
1,1,548.76896793309538,0,313,633.13751220703125
1,1,549.1955465765601,0,314,634.23748779296875
1,1,549.62211590436391,0,315,634.125
1,1,550.04867591079517,0,316,634.3375244140625
1,1,550.47522659014282,0,317,633.1875
1,1,550.90176793669684,0,318,634.04998779296875
1,1,551.32829994474628,0,319,633.63751220703125
1,1,551.75482260858189,0,320,633.42498779296875
1,1,552.18133592249444,0,321,635.25
1,1,552.60783988077435,0,322,634.88751220703125
1,1,553.03433447771408,0,323,633.48748779296875
1,1,553.46081970760406,0,324,633.5875244140625
1,1,553.88729556473788,0,325,633.2750244140625
1,1,554.31376204340768,0,326,633.2249755859375
1,1,554.74021913790625,0,327,632.6500244140625
1,1,555.16666684252664,0,328,634.0250244140625
1,1,555.59310515156392,0,329,632.2125244140625
1,1,556.019534059311,0,330,633.13751220703125
1,1,556.4459535600638,0,331,632.98748779296875
1,1,556.87236364811622,0,332,633.9000244140625
1,1,557.298764317764,0,333,632.98748779296875
1,1,557.72515556330336,0,334,632.88751220703125
1,1,558.15153737903063,0,335,633.61248779296875
1,1,558.57790975924172,0,336,634.5
1,1,559.004272698234,0,337,633.2874755859375
1,1,559.43062619030525,0,338,632.1875
1,1,559.856970229753,0,339,632.57501220703125
1,1,560.28330481087539,0,340,633.25
1,1,560.70962992797126,0,341,631.98748779296875
1,1,561.13594557534,0,342,632.9749755859375
1,1,561.56225174728036,0,343,632.42498779296875
1,1,561.98854843809272,0,344,633.2750244140625
1,1,562.41483564207738,0,345,632.67498779296875
1,1,562.841113353535,0,346,634.0250244140625
1,1,563.26738156676629,0,347,634.23748779296875
1,1,563.69364027607287,0,348,632.6875
1,1,564.11988947575708,0,349,633.82501220703125
1,1,564.546129160121,0,350,633.2750244140625
1,1,564.97235932346723,0,351,633.7125244140625
1,1,565.39857996009914,0,352,633.0875244140625
1,1,565.82479106431992,0,353,633.8125
1,1,566.25099263043421,0,354,633.98748779296875
1,1,566.67718465274561,0,355,632.375
1,1,567.1033671255592,0,356,633.625
1,1,567.52954004317974,0,357,632.04998779296875
1,1,567.95570339991355,0,358,633.5250244140625
1,1,568.3818571900664,0,359,632.98748779296875
1,1,568.80800140794486,0,360,632.79998779296875
1,1,569.23413604785515,0,361,633.92498779296875
1,1,569.660261104105,0,362,633.375
1,1,570.08637657100178,0,363,633.88751220703125
1,1,570.51248244285387,0,364,634.04998779296875
1,1,570.93857871396983,0,365,633.7125244140625
1,1,571.36466537865829,0,366,633.63751220703125
1,1,571.79074243122852,0,367,635.17498779296875
1,1,572.21680986599085,0,368,633.1875
1,1,572.64286767725434,0,369,633.4749755859375
1,1,573.06891585933022,0,370,634.8499755859375
1,1,573.49495440652936,0,371,632.5875244140625
1,1,573.92098331316345,0,372,634.45001220703125
1,1,574.34700257354382,0,373,634.4749755859375
1,1,574.77301218198272,0,374,635.4749755859375
1,1,575.19901213279365,0,375,634.2750244140625
1,1,575.62500242028841,0,376,635.23748779296875
1,1,576.05098303878094,0,377,634.17498779296875
1,1,576.47695398258543,0,378,635.5875244140625
