"x","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0001.tif_1_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0002.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0003.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0004.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0005.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0006.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0007.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0008.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0009.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0010.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0011.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0012.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0013.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0014.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0015.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0016.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0017.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0018.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0019.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0020.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0021.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0022.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0023.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0024.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0025.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0026.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0027.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0028.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0029.tif_Azm=_0.00","y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0030.tif_Azm=_0.00"
5.92,13.04,13.294,13.166,13.249,13.135,13.152,12.809,12.991,13.235,12.783,12.796,12.864,12.791,13.022,13.039,12.939,12.848,13.0,12.963,13.022,12.93,12.841,13.039,13.058,12.739,12.762,12.927,12.771,12.907,12.709
5.94,13.103,13.299,13.232,13.122,13.123,13.382,12.888,12.869,13.04,12.863,12.761,12.813,12.915,12.998,13.047,12.795,12.765,12.969,12.987,12.954,12.917,12.775,12.887,13.054,12.749,12.731,12.903,12.742,12.972,12.719
5.96,13.202,13.186,13.25,13.226,13.281,13.195,12.945,12.863,13.131,12.912,12.853,13.007,13.002,13.033,13.168,12.827,12.902,13.078,13.066,13.039,13.085,12.855,13.149,13.15,12.799,12.903,13.065,12.833,13.076,12.849
5.98,13.125,13.321,13.28,13.266,13.313,13.217,13.032,12.949,13.182,12.889,12.951,12.993,12.911,13.168,13.102,12.947,12.969,13.103,13.072,13.102,13.071,12.88,13.077,13.12,12.818,12.868,12.996,12.881,12.962,12.846
6.0,13.103,13.288,13.255,13.246,13.167,13.216,13.019,12.858,13.16,12.888,12.977,13.012,12.913,13.207,13.062,12.901,12.913,13.09,13.131,13.052,13.055,12.79,12.994,13.073,12.781,12.874,12.991,12.832,12.976,12.82
6.02,13.26,13.299,13.317,13.301,13.196,13.192,12.965,12.943,13.086,13.092,12.871,12.989,12.934,13.149,13.087,12.922,12.885,13.034,13.068,13.046,13.072,12.916,12.94,13.131,12.879,12.832,13.039,12.868,12.966,12.722
6.04,13.286,13.315,13.296,13.418,13.169,13.17,13.036,12.882,13.175,12.933,12.921,12.98,12.877,13.061,13.124,12.846,12.85,13.048,13.042,13.039,13.108,12.872,13.019,13.01,12.897,12.803,12.994,12.881,12.955,12.762
6.06,13.257,13.349,13.339,13.399,13.313,13.25,13.069,13.039,13.24,13.004,13.026,12.975,13.026,13.08,13.208,12.951,12.926,13.127,13.133,13.204,13.148,12.977,13.195,13.131,12.811,12.921,13.071,12.979,13.12,12.855
6.08,13.124,13.279,13.188,13.214,13.139,13.138,12.892,12.885,13.172,12.827,12.942,12.824,12.917,13.009,12.988,12.816,12.92,13.001,12.986,12.995,13.001,12.816,12.911,13.027,12.74,12.802,12.899,12.672,13.01,12.73
6.1,13.227,13.489,13.391,13.316,13.247,13.264,13.07,13.051,13.191,13.02,13.077,12.98,12.903,13.12,13.178,12.98,13.027,13.134,13.107,13.092,13.139,12.96,13.114,13.018,12.885,12.885,12.997,12.931,13.174,12.87
6.12,13.146,13.575,13.386,13.358,13.276,13.234,12.998,12.998,13.262,12.98,13.102,13.006,12.887,13.241,13.13,12.898,13.009,13.031,13.112,13.105,13.0,12.862,13.024,13.104,12.883,12.905,13.049,12.908,13.109,12.863
6.14,13.141,13.3,13.253,13.281,13.256,13.072,12.928,12.936,13.181,12.949,12.817,12.942,12.842,13.154,13.062,12.919,12.936,12.917,12.867,13.005,12.999,12.833,13.027,12.999,12.762,12.91,12.953,12.82,13.01,12.745
